loan_id,user_id,loan_amount,interest_rate,disbursement_date,tenure_months,loan_purpose,processing_fee,loan_status
L-FK-2024-1297,U-10177,35240,19.1,2024-10-12,6,Medical Emergency,764.27,NPA
L-FK-2024-1298,U-10072,40410,23.8,2024-06-06,12,Home Repair,696.92,Defaulted
L-FK-2024-1299,U-10028,20000,14.3,2024-09-08,3,Utility Bills,203.71,NPA
L-FK-2024-1300,U-10136,34780,17.5,2024-12-22,12,Home Repair,620.7,NPA
L-FK-2024-1301,U-10048,20230,15.0,2024-09-25,12,Education,403.7,Defaulted
L-FK-2024-1302,U-10156,30180,16.1,2024-06-20,3,Debt Consolidation,530.67,Defaulted
L-FK-2024-1303,U-10142,9630,16.0,2024-08-02,12,Medical Emergency,144.1,Closed
L-FK-2024-1304,U-10085,29780,19.9,2024-10-24,9,Debt Consolidation,662.8,Closed
L-FK-2024-1305,U-10188,25370,15.8,2024-12-12,9,Debt Consolidation,423.83,Closed
L-FK-2024-1306,U-10025,39570,20.4,2024-04-19,3,Home Repair,726.39,Closed
L-FK-2024-1307,U-10199,35180,17.8,2024-12-17,12,Travel,648.54,Defaulted
L-FK-2024-1308,U-10040,18400,17.3,2024-11-19,3,Utility Bills,275.62,NPA
L-FK-2024-1309,U-10157,25280,15.5,2024-11-18,12,Medical Emergency,296.04,Closed
L-FK-2024-1310,U-10031,17910,13.1,2024-08-28,12,Home Repair,326.24,Closed
L-FK-2024-1311,U-10167,4720,14.6,2024-10-27,6,Business Expense,54.77,NPA
L-FK-2024-1312,U-10117,11670,15.6,2024-11-21,12,Travel,261.04,Closed
L-FK-2024-1313,U-10149,8320,18.3,2025-01-27,6,Debt Consolidation,98.58,Defaulted
L-FK-2024-1314,U-10015,40150,18.8,2024-12-12,9,Vehicle Repair,404.11,Closed
L-FK-2024-1315,U-10080,20410,20.9,2024-12-17,9,Utility Bills,443.23,Closed
L-FK-2024-1316,U-10044,10300,18.8,2024-10-16,12,Travel,204.59,NPA
L-FK-2024-1317,U-10183,29940,17.9,2024-08-06,6,Wedding,422.27,Closed
L-FK-2024-1318,U-10066,25370,16.8,2024-12-19,3,Travel,367.45,NPA
L-FK-2024-1319,U-10052,30200,19.2,2024-08-27,3,Education,613.03,Closed
L-FK-2024-1320,U-10133,30100,16.5,2024-05-30,12,Debt Consolidation,644.49,NPA
L-FK-2024-1321,U-10159,35130,22.3,2024-12-30,12,Medical Emergency,501.97,Defaulted
L-FK-2024-1322,U-10154,29660,15.5,2024-04-28,3,Wedding,594.8,Closed
L-FK-2024-1324,U-10088,29580,17.3,2024-05-23,6,Business Expense,569.17,NPA
L-FK-2024-1325,U-10145,40120,19.4,2024-08-26,6,Electronics Purchase,818.21,Closed
L-FK-2024-1326,U-10137,19980,23.9,2024-09-08,12,Medical Emergency,489.26,Closed
L-FK-2024-1327,U-10171,14760,23.2,2024-11-13,9,Utility Bills,331.36,Closed
L-FK-2024-1328,U-10116,30310,14.8,2024-07-09,9,Home Repair,436.85,Closed
L-FK-2024-1329,U-10064,9730,16.1,2024-10-11,12,Vehicle Repair,103.23,Closed
L-FK-2024-1330,U-10147,14680,21.5,2024-08-09,3,Education,148.04,Defaulted
L-FK-2024-1331,U-10097,4710,16.4,2024-09-02,6,Vehicle Repair,81.76,NPA
L-FK-2024-1332,U-10078,17620,22.2,2024-12-26,12,Vehicle Repair,234.34,Closed
L-FK-2024-1333,U-10160,8360,17.0,2025-01-04,9,Travel,150.94,Closed
L-FK-2024-1334,U-10075,11770,20.0,2024-10-02,12,Vehicle Repair,169.53,NPA
L-FK-2024-1335,U-10141,25120,17.0,2024-04-05,12,Debt Consolidation,294.43,Closed
L-FK-2024-1336,U-10088,12210,17.7,2024-08-03,9,Electronics Purchase,297.72,Closed
L-FK-2024-1337,U-10185,7940,19.2,2024-08-23,6,Travel,82.34,NPA
L-FK-2024-1338,U-10139,30370,15.8,2024-04-23,9,Travel,438.74,Closed
L-FK-2024-1339,U-10077,29630,17.0,2025-01-01,3,Business Expense,533.28,Closed
